       76.97,       -0.83,
       77.44,       -0.83,
       77.92,       -0.82,
       78.40,       -0.84,
       78.84,       -0.85,
       79.28,       -0.87,
       79.72,       -0.85,
       80.20,       -0.83,
       80.64,       -0.81,
       81.12,       -0.82,
       81.56,       -0.79,
       82.00,       -0.76,
       82.43,       -0.72,
       82.87,       -0.69,
       83.35,       -0.65,
       83.79,       -0.61,
       84.23,       -0.59,
       84.71,       -0.55,
       85.19,       -0.53,
       85.67,       -0.46,
       86.15,       -0.50,
       86.63,       -0.40,
       87.07,       -0.37,
       87.54,       -0.36,
       87.98,       -0.36,
       88.46,       -0.33,
       88.94,       -0.30,
       89.38,       -0.25,
       89.82,       -0.25,
       90.30,       -0.21,
       90.74,       -0.17,
       91.18,       -0.12,
       91.66,       -0.09,
       92.10,       -0.05,
       92.57,       -0.02,
       93.05,        0.00,
       93.57,        0.01,
       94.05,        0.00,
       94.53,       -0.02,
       95.01,        0.01,
       95.45,       -0.02,
       95.93,       -0.02,
       96.37,       -0.01,
       96.85,       -0.02,
       97.32,       -0.00,
       97.76,        0.02,
       98.24,        0.04,
       98.68,        0.06,
       99.12,        0.05,
       99.60,        0.06,
      100.04,        0.05,
      100.52,        0.07,
      101.00,        0.09,
      101.48,        0.12,
      102.00,        0.15,
      102.43,        0.19,
      102.91,        0.20,
      103.35,        0.24,
      103.79,        0.28,
      104.27,        0.29,
      104.75,        0.31,
      105.23,        0.31,
      105.71,        0.34,
      106.15,        0.35,
      106.63,        0.37,
      107.07,        0.44,
      107.54,        0.46,
      108.02,        0.47,
      108.50,        0.46,
      108.98,        0.51,
      109.46,        0.53,
      109.98,        0.55,
      110.46,        0.59,
      110.94,        0.59,
      111.42,        0.63,
      111.86,        0.64,
      112.33,        0.68,
      112.85,        0.73,
      113.33,        0.74,
      113.81,        0.73,
      114.29,        0.75,
      114.73,        0.79,
      115.21,        0.81,
      115.69,        0.82,
      116.17,        0.86,
      116.65,        0.91,
      117.17,        0.94,
      117.60,        0.49,
      118.12,        0.96,
      118.60,        0.97,
      119.08,        1.01,
      119.56,        1.03,
      120.00,        1.07,
      120.48,        1.05,
      121.00,        1.11,
      121.48,        1.13,
      121.96,        1.14,
      122.43,        1.24,
      122.87,        1.25,
      123.35,        1.26,
      123.83,        1.29,
      124.31,        1.29,
      124.79,        1.33,
      125.31,        1.37,
      125.83,        1.33,
      126.31,        1.35,
      126.83,        1.35,
      127.31,        1.35,
      127.74,        1.35,
      128.22,        1.38,
      128.74,        1.39,
      129.22,        1.39,
      129.70,        1.39,
      130.18,        1.40,
      130.66,        1.42,
      131.14,        1.43,
      131.58,        1.42,
      132.06,        1.42,
      132.57,        1.42,
      133.05,        1.42,
      133.57,        1.42,
      134.05,        1.41,
      134.57,        1.39,
      135.05,        1.37,
      135.53,        1.38,
      136.01,        1.26,
      136.49,        1.05,
      136.97,        0.75,
      137.48,        0.38,
      137.96,       -0.02,
      138.44,       -0.44,
      138.88,       -0.90,
      139.36,       -1.33,
      139.88,       -1.70,
      140.36,       -1.94,
      140.88,       -2.03,
      141.40,       -2.03,
      141.92,       -2.08,
      142.43,       -2.10,
      142.91,       -2.11,
      143.39,       -2.11,
      143.87,       -2.03,
      144.35,       -2.06,
      144.83,       -2.10,
      145.35,       -2.08,
      145.83,       -2.05,
      146.31,       -2.03,
      146.75,       -2.03,
      147.23,       -2.05,
      147.70,       -2.07,
      148.18,       -2.11,
      148.70,       -2.10,
      149.18,       -2.01,
      149.70,       -2.03,
      150.22,       -2.02,
      150.70,       -1.97,
      151.18,       -1.96,
      151.62,       -1.99,
      152.10,       -1.99,
      152.61,       -1.97,
      153.09,       -1.95,
      153.57,       -1.94,
      154.05,       -1.94,
      154.53,       -1.85,
      155.01,       -1.78,
      155.49,       -1.79,
      155.97,       -1.82,
      156.45,       -1.85,
      156.97,       -1.86,
      157.48,       -1.81,
      158.00,       -1.81,
      158.52,       -1.79,
      159.00,       -1.81,
      159.48,       -1.81,
      159.96,       -1.78,
      160.44,       -1.77,
      160.92,       -1.74,
      161.44,       -1.72,
      161.92,       -1.74,
      162.39,       -1.74,
      162.87,       -1.73,
      163.35,       -1.76,
      163.83,       -1.73,
      164.35,       -1.60,
      164.83,       -1.60,
      165.35,       -1.60,
      165.91,       -1.57,
      166.39,       -1.57,
