0.00	0.0034
0.03	0.0035
0.06	0.0041
0.09	0.0047
0.12	0.0069
0.15	0.007
0.18	0.0112
0.21	0.0135
0.24	0.0152
0.27	0.0185
0.30	0.0219
0.33	0.0262
0.36	0.0284
0.39	0.0313
0.42	0.0337
0.45	0.0361
0.48	0.0388
0.51	0.0406
0.54	0.041
0.57	0.045
0.60	0.0475
0.63	0.0502
0.66	0.0543
0.69	0.0567
0.72	0.0581
0.75	0.0606
0.78	0.063
0.81	0.0645
0.84	0.0662
0.87	0.0681
0.90	0.0694
0.93	0.0708
0.96	0.0714
0.99	0.0724
1.02	0.074
1.05	0.0758
1.08	0.0778
1.124	0.083
1.14	0.0781
1.17	0.0633
1.20	0.0501
1.23	0.036
1.26	0.0218
1.30	0.0045
1.33	0.0022
1.36	0.0027
1.39	0.0028
1.42	0.0037
1.45	0.0062
1.48	0.0087
1.51	0.0112
1.54	0.0133
1.57	0.0156
1.60	0.0176
1.63	0.0215
1.66	0.0238
1.69	0.0257
1.72	0.0281
1.75	0.032
1.78	0.0325
1.81	0.0357
1.84	0.0388
1.87	0.0398
1.90	0.0417
1.93	0.0442
1.96	0.0463
1.99	0.0497
2.02	0.0516
2.05	0.0548
2.08	0.0562
2.11	0.057
2.14	0.0589
2.17	0.06
2.20	0.0621
2.23	0.0642
2.26	0.0665
2.29	0.0675
2.32	0.0707
2.35	0.0726
2.38	0.0739
2.422	0.0769
2.45	0.0642
2.48	0.05
2.51	0.0389
2.54	0.026
2.57	0.012
2.606	0.0034
